Flow_in,TN_in,NH4_in,COD_in,TP_in,SS_in,NO3_AN,NO3_ANA,NO3_AE,TN_eff,DCS,IR,ER,Was,DPRA,DO_1,DO_2,DO_3,MLSS
0.23610322781295778,0.08916086889175887,0.06817861720833858,0.5996819967058793,0.6515800705730519,0.2964692658467691,0.11409224849379417,0.042659944373034726,0.3151163037958895,0.3079561563742692,0.0,0.5160022356181151,0.4502565013953421,0.5254535696554141,0.435932752547866,0.6871161157297001,0.6375652827935756,0.5004193552748304,0.5072513881547369
0.17363995460332138,0.28223129664971125,0.22021233080842223,0.5323444574547584,0.7383258758058096,0.3745153336416031,0.1787012930670142,0.07397570762398575,0.3204052139440373,0.30623731250304864,0.33019702752683666,0.5598461582714718,0.4253986833938561,0.60677474244756,0.5492267685959513,0.5258923972416252,0.5421188130814099,0.5082802617287832,0.48536719401167083
0.27719172665631664,0.25918369419216614,0.1504486729840302,0.5778716459336088,0.8151463579924085,0.37559334367777947,0.1290474740171778,0.0526119248908203,0.32910867615011463,0.30182730645414013,0.6327848695615755,0.6346951834453103,0.43061764335396857,0.41435150558505285,0.48616262755584705,0.560057506068067,0.4445557339752617,0.44692889728495877,0.5453466135066947
0.239861906979983,0.19279283893473578,0.12026668826020866,0.593835942612811,0.8623022706283117,0.4417848827277759,0.10853601356461091,0.038832132730963656,0.3360431200113714,0.30029529100050045,1.0,0.5440018739497572,0.5489239459232547,0.5930916823836703,0.6172962616961466,0.6262562290730784,0.4553039195510402,0.5577166782874053,0.5200344719513295
0.2849773338103079,0.07732489988066271,0.05871764895469987,0.6004313148899183,0.6954507702493664,0.4439107414246653,0.08805142585531507,0.02729721124345246,0.32155416530358005,0.3042107824203526,1.0,0.6085306380281961,0.4174205678734473,0.6369375822493928,0.49819856536266993,0.49429620997353263,0.6930400416129554,0.3877772436876678,0.5387077921505687
0.2744601302976939,0.2022775365968175,0.040770136721846914,0.6753063887465178,0.8609968876458962,0.4122891019613076,0.06995355107438878,0.020258972776079034,0.2829884917261113,0.2986102005168336,1.0,0.5612293165854423,0.3356016536122146,0.5368662679527856,0.5117143757562754,0.513155124998836,0.6264571240923202,0.5616612794143273,0.5402005552372913
0.3360804125616257,0.14358721276747174,0.13725998062771416,0.4855572682249279,0.6064683927620338,0.5773197189440056,0.05380412132593314,0.015367226685606169,0.23825897301195173,0.301239057634326,1.0,0.5104385880174194,0.4529872852788235,0.5697791272986583,0.5531415657952876,0.39975961230503065,0.3559771082679426,0.4312361178845123,0.5550753115336784
0.41151395476569075,0.32001530753658236,0.10629139161674996,0.5156016703641524,0.5792007132631394,0.31348916962614853,0.03995283674593436,0.011203572766592612,0.18570656581346293,0.29885909304134695,1.0,0.5151124905131654,0.38660759151862356,0.44277845434320096,0.5803437305378103,0.4630258395997453,0.40119795131593583,0.5225391051272797,0.5718876737251772
0.5560108700121926,0.11799054061553091,0.12265646578701873,0.5808861898785584,0.5722614832462434,0.48274008992874046,0.03121941494231936,0.00800529087121377,0.14025135615679302,0.29821985791608774,1.0,0.5747638255875609,0.45083839383079116,0.5810415275428147,0.4705604523793778,0.5495295115544288,0.48227867013421744,0.4011359374214674,0.5603028305296034
0.7431583573437699,0.3173935452313821,0.07747722357930721,0.3496454823341139,0.5693467354328172,0.39929024262395,0.02153750134267952,0.00494559030765728,0.08822761931819048,0.2885868053530982,1.0,0.6233917390458799,0.4390507479962409,0.529056540520807,0.5773482186825936,0.593059846170545,0.5432376868638591,0.40516234532563433,0.5575549248057756
